Price,Nr Bedrooms,Nr Bathrooms,Location,Size,,City
160000,3,4," Corniche Area, Abu Dhabi",1750,sqft,Abu Dhabi
150000,3,5," Corniche Area, Abu Dhabi",1845,sqft,Abu Dhabi
90000,3,3," Corniche Area, Abu Dhabi",1615,sqft,Abu Dhabi
120000,3,5," Corniche Area, Abu Dhabi",2000,sqft,Abu Dhabi
80000,3,4," Corniche Area, Abu Dhabi",1850,sqft,Abu Dhabi
85000,3,4," Corniche Area, Abu Dhabi",1865,sqft,Abu Dhabi
85000,3,4," Corniche Area, Abu Dhabi",1989,sqft,Abu Dhabi
80000,3,4," Corniche Area, Abu Dhabi",1600,sqft,Abu Dhabi
100000,3,4," Corniche Area, Abu Dhabi",2100,sqft,Abu Dhabi
75000,3,4," Corniche Area, Abu Dhabi",1650,sqft,Abu Dhabi
85000,3,3," Corniche Area, Abu Dhabi",1550,sqft,Abu Dhabi
85000,3,4," Corniche Area, Abu Dhabi",2231,sqft,Abu Dhabi
175000,3,5," Corniche Area, Abu Dhabi",2675,sqft,Abu Dhabi
72500,3,3," Corniche Area, Abu Dhabi",1979,sqft,Abu Dhabi
60000,3,3," Corniche Area, Abu Dhabi",1350,sqft,Abu Dhabi
145000,3,4," Corniche Area, Abu Dhabi",2500,sqft,Abu Dhabi
70000,3,3," Corniche Area, Abu Dhabi",2300,sqft,Abu Dhabi
85000,3,4," Corniche Area, Abu Dhabi",2500,sqft,Abu Dhabi
85000,3,5," Corniche Area, Abu Dhabi",2300,sqft,Abu Dhabi
85000,3,3," Corniche Area, Abu Dhabi",2300,sqft,Abu Dhabi
110000,3,4," Corniche Area, Abu Dhabi",2450,sqft,Abu Dhabi
110000,3,4," Corniche Area, Abu Dhabi",2400,sqft,Abu Dhabi
160000,3,4," Corniche Area, Abu Dhabi",2100,sqft,Abu Dhabi
95000,3,3," Corniche Area, Abu Dhabi",1750,sqft,Abu Dhabi
140000,3,4," Corniche Area, Abu Dhabi",2700,sqft,Abu Dhabi
135000,3,5," Corniche Area, Abu Dhabi",2000,sqft,Abu Dhabi
150000,3,4," Corniche Area, Abu Dhabi",3500,sqft,Abu Dhabi
135000,3,4," Corniche Area, Abu Dhabi",3500,sqft,Abu Dhabi
150000,3,4," Corniche Area, Abu Dhabi",2357,sqft,Abu Dhabi
148000,3,5," Corniche Area, Abu Dhabi",2350,sqft,Abu Dhabi
170000,3,4," Corniche Area, Abu Dhabi",2800,sqft,Abu Dhabi
134999,3,4," Corniche Area, Abu Dhabi",2650,sqft,Abu Dhabi
140000,3,4," Corniche Area, Abu Dhabi",2005,sqft,Abu Dhabi
124999,3,4," Corniche Area, Abu Dhabi",3250,sqft,Abu Dhabi
89999,3,4," Corniche Area, Abu Dhabi",1900,sqft,Abu Dhabi
65000,3,3," Corniche Area, Abu Dhabi",1760,sqft,Abu Dhabi
145000,3,4," Corniche Area, Abu Dhabi",2700,sqft,Abu Dhabi
100000,3,5," Corniche Area, Abu Dhabi",2370,sqft,Abu Dhabi
160000,3,5," Corniche Area, Abu Dhabi",2360,sqft,Abu Dhabi
95000,3,4," Corniche Area, Abu Dhabi",1500,sqft,Abu Dhabi
219999,3,5," Corniche Area, Abu Dhabi",2550,sqft,Abu Dhabi
140000,3,5," Corniche Area, Abu Dhabi",3000,sqft,Abu Dhabi
175000,3,4," Corniche Area, Abu Dhabi",2250,sqft,Abu Dhabi
165000,3,4," Corniche Area, Abu Dhabi",2350,sqft,Abu Dhabi
175000,3,5," Corniche Area, Abu Dhabi",2055,sqft,Abu Dhabi
110000,3,4," Corniche Area, Abu Dhabi",2000,sqft,Abu Dhabi
220000,3,5," Corniche Area, Abu Dhabi",2400,sqft,Abu Dhabi
73000,3,4," Corniche Area, Abu Dhabi",1900,sqft,Abu Dhabi
175000,3,4," Corniche Area, Abu Dhabi",2000,sqft,Abu Dhabi
72000,3,2," Hamdan Street, Abu Dhabi",1350,sqft,Abu Dhabi
67999,3,3," Hamdan Street, Abu Dhabi",1850,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",1820,sqft,Abu Dhabi
60000,3,3," Hamdan Street, Abu Dhabi",1800,sqft,Abu Dhabi
68000,3,3," Hamdan Street, Abu Dhabi",1500,sqft,Abu Dhabi
70000,3,3," Hamdan Street, Abu Dhabi",1900,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",2150,sqft,Abu Dhabi
55000,3,3," Hamdan Street, Abu Dhabi",850,sqft,Abu Dhabi
55000,3,2," Hamdan Street, Abu Dhabi",850,sqft,Abu Dhabi
100000,3,4," Hamdan Street, Abu Dhabi",2637,sqft,Abu Dhabi
80000,3,4," Hamdan Street, Abu Dhabi",2550,sqft,Abu Dhabi
100000,3,4," Hamdan Street, Abu Dhabi",2102,sqft,Abu Dhabi
120000,3,4," Hamdan Street, Abu Dhabi",2637,sqft,Abu Dhabi
85000,3,3," Hamdan Street, Abu Dhabi",2000,sqft,Abu Dhabi
110000,3,3," Hamdan Street, Abu Dhabi",1780,sqft,Abu Dhabi
70000,3,4," Hamdan Street, Abu Dhabi",2000,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",1550,sqft,Abu Dhabi
68000,3,3," Hamdan Street, Abu Dhabi",1500,sqft,Abu Dhabi
67000,3,2," Hamdan Street, Abu Dhabi",1550,sqft,Abu Dhabi
70000,3,3," Hamdan Street, Abu Dhabi",1750,sqft,Abu Dhabi
90000,3,3," Hamdan Street, Abu Dhabi",1400,sqft,Abu Dhabi
105000,3,2," Hamdan Street, Abu Dhabi",2072,sqft,Abu Dhabi
95000,3,4," Hamdan Street, Abu Dhabi",1650,sqft,Abu Dhabi
100000,3,4," Hamdan Street, Abu Dhabi",1850,sqft,Abu Dhabi
110000,3,4," Hamdan Street, Abu Dhabi",1850,sqft,Abu Dhabi
110000,3,4," Hamdan Street, Abu Dhabi",2637,sqft,Abu Dhabi
150000,3,2," Hamdan Street, Abu Dhabi",2100,sqft,Abu Dhabi
110000,3,4," Hamdan Street, Abu Dhabi",2637,sqft,Abu Dhabi
95000,3,4," Hamdan Street, Abu Dhabi",1650,sqft,Abu Dhabi
70000,3,4," Hamdan Street, Abu Dhabi",1700,sqft,Abu Dhabi
80000,3,4," Hamdan Street, Abu Dhabi",2600,sqft,Abu Dhabi
68000,3,3," Hamdan Street, Abu Dhabi",2500,sqft,Abu Dhabi
